authority,authority_type,authority_type_zh,authority_type_en,matched_keyword,occurrence_count
西安市卫生和计划生育委员会(原市卫生局),sectoral_public_services,行业应用与公共服务,Sectoral public services,卫生,4
陕西省工业和信息化厅,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",工业和信息化,4
陕西省食品药品监督管理局,sectoral_public_services,行业应用与公共服务,Sectoral public services,药品,4
中共山西省委宣传部,public_science_culture,宣传文化与公众科学,Public science and culture,宣传,4
山西省人大(含常委会),law_regulation_security,法规司法与监管安全,"Law, regulation and security",人大,4
中共济南市委员会,party_government_general,党政综合与战略协调,Party-government general,中共,4
威海市教育局,education_talent,教育与人才培养,Education and talent,教育,4
威海市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,4
山东省住房和城乡建设厅,sectoral_public_services,行业应用与公共服务,Sectoral public services,住房,4
日照市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
枣庄市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,4
济南市科技局,science_technology,科技创新与科研管理,Science and technology,科技,4
济宁市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
潍坊市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
中共宁夏回族自治区委员会,party_government_general,党政综合与战略协调,Party-government general,中共,4
宁夏回族自治区地质局,sectoral_public_services,行业应用与公共服务,Sectoral public services,地质,4
中共内蒙古自治区委员会,party_government_general,党政综合与战略协调,Party-government general,中共,4
内蒙古自治区科学技术协会,public_science_culture,宣传文化与公众科学,Public science and culture,科学技术协会,4
巴彦淖尔市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
沈阳市教育局,education_talent,教育与人才培养,Education and talent,教育,4
辽宁省人大(含常委会),law_regulation_security,法规司法与监管安全,"Law, regulation and security",人大,4
铁岭市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
中共江西省委教育工委,education_talent,教育与人才培养,Education and talent,教育,4
江西省科学技术协会,public_science_culture,宣传文化与公众科学,Public science and culture,科学技术协会,4
江苏省高级人民法院,law_regulation_security,法规司法与监管安全,"Law, regulation and security",法院,4
南京市教育局,education_talent,教育与人才培养,Education and talent,教育,4
如东县人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
常熟市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
张家港市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
江苏省政务服务管理办公室,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",政务服务,4
泗阳县人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
吉林省卫生健康委员会,sectoral_public_services,行业应用与公共服务,Sectoral public services,卫生健康,4
吉林省人大(含常委会),law_regulation_security,法规司法与监管安全,"Law, regulation and security",人大,4
吉林省水利厅,sectoral_public_services,行业应用与公共服务,Sectoral public services,水利,4
通化市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
长春市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,4
湖南省卫生健康委员会,sectoral_public_services,行业应用与公共服务,Sectoral public services,卫生健康,4
湖南省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,4
恩施土家族苗族自治州人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
荆门市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
中共黑龙江省委,party_government_general,党政综合与战略协调,Party-government general,中共,4
